batter	game_id	batting_avg
115223	12560	0.3333
117601	12560	0.2121
120044	12560	0.2308
276346	12560	0.2432
400121	12560	0.2785
406878	12560	0.3462
408234	12560	0.3294
425509	12560	0.2179
429666	12560	0.3385
429712	12560	0.2462
430945	12560	0.2840
446308	12560	0.2857
448602	12560	0.2375
453269	12560	0.3780
455976	12560	0.3636
457706	12560	0.2125
488671	12560	0.2807
489242	12560	0.2973
